,med_age_weight,med_income_weight,month_housing_costs_weight,total_pop,med_age,med_income,month_housing_costs,Against Family/Child,Aggravated Assault,Burglary,Disorderly Conduct,Disturbing the Peace,Driving Under Influence,Drunkeness,Federal Offenses,Forgery/Counterfeit,Fraud/Embezzlement,Gambling,Homicide,Larceny,Liquor Laws,Miscellaneous Other Violations,Moving Traffic Violations,Narcotic Drug Laws,Non-Criminal Detention,Other Assaults,Pre-Delinquency,Prostitution/Allied,Rape,Receive Stolen Property,Robbery,Sex (except rape/prst),Vehicle Theft,Weapon (carry/poss),General Mental Health Program,General Mental Health Resource,Substance Abuse Program
91311,2518590.3,2455204043.0,140074651.0,57936.0,43.47193972659486,42377.86597279757,2417.7480495719415,1.0,25.0,10.0,,,22.0,,,,5.0,,,4.0,,34.0,3.0,17.0,,16.0,,,,1.0,5.0,1.0,15.0,4.0,1.0,4.0,
91313,227775.59999999998,254696076.0,11891808.0,5652.0,40.3,45063.0,2104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91316,1774974.6,1881765197.0,99848527.0,41527.0,42.742663809088064,45314.25812122234,2404.424278180461,1.0,26.0,5.0,,,10.0,,,,2.0,,,7.0,,20.0,5.0,7.0,,13.0,,,,1.0,4.0,1.0,13.0,5.0,,,
91321,1961976.7,2127003442.0,111264122.0,50377.0,38.945882049347915,42221.71709311789,2208.6293745161483,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,
91322,201132.4,175559852.0,11156408.0,4954.0,40.6,35438.0,2252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91324,2138147.2,1862826642.0,113959971.0,52961.0,40.37210777742113,35173.55491776968,2151.77151111195,4.0,37.0,5.0,,,13.0,,,,5.0,,2.0,42.0,,23.0,8.0,18.0,,19.0,,4.0,1.0,3.0,9.0,1.0,17.0,8.0,1.0,3.0,
91325,2467500.0,2164646710.0,128829943.0,65857.0,37.46754331354298,32868.89335985544,1956.2072824452982,7.0,29.0,7.0,1.0,,22.0,,,,2.0,,,3.0,,20.0,4.0,11.0,,21.0,,,,2.0,1.0,4.0,5.0,2.0,1.0,2.0,
91326,1555708.6,1719740891.0,95065315.0,33306.0,46.709559839068035,51634.5670750015,2854.2999759803038,1.0,12.0,4.0,,,8.0,,,,3.0,,,2.0,,9.0,7.0,5.0,,2.0,,,,,2.0,1.0,3.0,,,1.0,
91327,169677.0,134078100.0,9182520.0,3327.0,51.0,40300.0,2760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91329,201225.59999999998,238314240.0,9908388.0,4932.0,40.8,48320.0,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
